"TAXONIDCH","ACCEPTEDNAME","USAGEKEY","ACCEPTEDUSAGEKEY","SCIENTIFICNAME","RANK","SOURCE"
"","Coreopsis lanceolata L.","3133938","","","","INFOFLORA"
"","Coriandrum sativum L.","3034871","","","","INFOFLORA"
"","Cornus mas L.","3082263","","","","INFOFLORA"
"","Cornus sanguinea L.","3082234","","","","INFOFLORA"
"","Cornus sericea L.","3082244","","","","INFOFLORA"
"","Coronilla coronata L.","5348660","","","","INFOFLORA"
"","Coronilla minima L.","5348647","","","","INFOFLORA"
"","Coronilla scorpioides (L.) W.D.J.Koch","5348644","","","","INFOFLORA"
"","Coronilla vaginalis Lam.","5348664","","","","INFOFLORA"
"","Coronopus didymus (L.) Sm.","5377061","","","","INFOFLORA"
"","Coronopus squamatus (Forssk.) Asch.","5376633","","","","INFOFLORA"
"","Corrigiola litoralis L.","5384680","","","","INFOFLORA"
"","Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.","2704523","","","","INFOFLORA"
"","Cortusa matthioli L.","7290560","","","","INFOFLORA"
"","Corydalis alba (Mill.) Mansf.","5531633","","","","INFOFLORA"
"","Corydalis cava (L.) Schweigg. & Körte","5530881","","","","INFOFLORA"
"","Corydalis lutea (L.) DC.","5334195","","","","INFOFLORA"
"","Corydalis solida (L.) Clairv.","5334208","","","","INFOFLORA"
"","Corylus avellana L.","2875979","","","","INFOFLORA"
"","Corylus colurna L.","2875968","","","","INFOFLORA"
"","Corylus maxima Mill.","2876049","","","","INFOFLORA"
"","Cosmos bipinnatus Cav.","3098912","","","","INFOFLORA"
"","Cota triumfetti (L.) Gay","5390630","","","","INFOFLORA"
"","Cotinus coggygria Scop.","3190522","","","","INFOFLORA"
"","Cotinus obovatus Raf.","3190520","","","","INFOFLORA"
"","Cotoneaster adpressus Bois","3025764","","","","INFOFLORA"
"","Cotoneaster bullatus Bois ex Bilm. & Bois","3026294","","","","INFOFLORA"
"","Cotoneaster dielsianus E.Pritz.","3025896","","","","INFOFLORA"
"","Cotoneaster divaricatus Rehder & E.H.Wilson","3026334","","","","INFOFLORA"
"","Cotoneaster franchetii Boiss.","3026162","","","","INFOFLORA"
"","Cotoneaster horizontalis Decne.","3025617","","","","INFOFLORA"
"","Cotoneaster integerrimus Medik.","3025576","","","","INFOFLORA"
"","Cotoneaster integrifolius (Roxb.) G.Klotz","3026105","","","","INFOFLORA"
"","Cotoneaster microphyllus Wall. ex Lindl.","3025626","","","","INFOFLORA"
"","Cotoneaster salicifolius Franch.","3026074","","","","INFOFLORA"
"","Cotoneaster tomentosus (Aiton) Lindl.","7916436","","","","INFOFLORA"
"","Cotoneaster ×watereri Exell","3026004","","","","INFOFLORA"
"","Cotula australis (Sieber ex Spreng.) Hook.fil.","8542672","","","","INFOFLORA"
"","Crassula helmsii (Kirk) Cockayne","5362054","","","","INFOFLORA"
"","Crassula tillaea Lest.-Garl.","5362055","","","","INFOFLORA"
"","Crataegus laevigata (Poir.) DC.","8252683","","","","INFOFLORA"
"","Crataegus lindmanii Hrabetová","9024019","","","","INFOFLORA"
"","Crataegus monogyna Jacq.","9220780","","","","INFOFLORA"
"","Crataegus rhipidophylla Gand.","9047268","","","","INFOFLORA"
"","Crepis albida Vill.","7770027","","","","INFOFLORA"
"","Crepis alpestris (Jacq.) Tausch","5403589","","","","INFOFLORA"
"","Crepis aurea (L.) Cass.","5403355","","","","INFOFLORA"
"","Crepis biennis L.","5403531","","","","INFOFLORA"
"","Crepis bursifolia L.","5403541","","","","INFOFLORA"
"","Crepis capillaris (L.) Wallr.","5403304","","","","INFOFLORA"
"","Crepis foetida L.","5403470","","","","INFOFLORA"
"","Crepis froelichiana DC.","7997372","","","","INFOFLORA"
"","Crepis jacquinii Tausch","5403329","","","","INFOFLORA"
"","Crepis mollis (Jacq.) Asch.","5403596","","","","INFOFLORA"
"","Crepis nicaeensis Balb. ex Pers.","5403323","","","","INFOFLORA"
"","Crepis paludosa (L.) Moench","5403296","","","","INFOFLORA"
"","Crepis pontana (L.) Dalla Torre","5403682","","","","INFOFLORA"
"","Crepis praemorsa (L.) Walther","8277403","","","","INFOFLORA"
"","Crepis pulchra L.","5403272","","","","INFOFLORA"
"","Crepis pygmaea L.","5403377","","","","INFOFLORA"
"","Crepis pyrenaica (L.) Greuter","5403358","","","","INFOFLORA"
"","Crepis rhaetica Hegetschw.","7607933","","","","INFOFLORA"
"","Crepis sancta (L.) Bornm.","5403605","","","","INFOFLORA"
"","Crepis setosa Haller fil.","4245384","","","","INFOFLORA"
"","Crepis tectorum L.","5403508","","","","INFOFLORA"
"","Crepis terglouensis (Hacq.) A.Kern.","5403602","","","","INFOFLORA"
"","Crepis vesicaria L.","5403709","","","","INFOFLORA"
"","Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell.","5702572","","","","INFOFLORA"
"","Crocus albiflorus Kit.","7533404","","","","INFOFLORA"
"","Crocus biflorus Mill.","2747340","","","","INFOFLORA"
"","Crocus chrysanthus (Herb.) Herb.","2747489","","","","INFOFLORA"
"","Crocus flavus Weston","2747737","","","","INFOFLORA"
"","Crocus sativus L.","2747430","","","","INFOFLORA"
"","Crocus tommasinianus Herb.","2747564","","","","INFOFLORA"
"","Cruciata glabra (L.) Ehrend.","7428658","","","","INFOFLORA"
"","Cruciata laevipes Opiz","5338920","","","","INFOFLORA"
"","Cruciata pedemontana (Bellardi) Ehrend.","5338943","","","","INFOFLORA"
"","Cryptogramma crispa (L.) R.Br.","5275447","","","","INFOFLORA"
"","Cucubalus baccifer L.","7268155","","","","INFOFLORA"
"","Cucumis melo L.","2874570","","","","INFOFLORA"
"","Cucumis sativus L.","2874569","","","","INFOFLORA"
"","Cucurbita maxima Duchesne","2874515","","","","INFOFLORA"
"","Cucurbita pepo L.","2874508","","","","INFOFLORA"
"","Cupressus lusitanica Mill.","2684046","","","","INFOFLORA"
"","Cupressus sempervirens L.","2684030","","","","INFOFLORA"
"","Cuscuta campestris Yunck.","3610757","","","","INFOFLORA"
"","Cuscuta epilinum Weihe ex Boenn.","11073337","","","","INFOFLORA"
"","Cuscuta epithymum (L.) L.","2927518","","","","INFOFLORA"
"","Cuscuta epithymum subsp. kotschyi (Des Moul.) Arcang.","7905773","","","","INFOFLORA"
"","Cuscuta europaea L.","2927493","","","","INFOFLORA"
"","Cuscuta scandens Brot.","7323876","","","","INFOFLORA"
"","Cyclamen coum Mill.","7127354","","","","INFOFLORA"
"","Cyclamen hederifolium Aiton","7127810","","","","INFOFLORA"
"","Cyclamen purpurascens Mill.","3169315","","","","INFOFLORA"
"","Cydonia oblonga Mill.","5362215","","","","INFOFLORA"
"","Cylindropuntia imbricata (Haw.) F.M.Knuth","6381277","","","","INFOFLORA"
"","Cymbalaria muralis G.Gaertn., B.Mey. & Scherb.","8200663","","","","INFOFLORA"
"","Cynara cardunculus L.","3112364","","","","INFOFLORA"
"","Cynara cardunculus subsp. scolymus (L.) Beger, 1928","6300900","","","","INFOFLORA"
"","Cynodon dactylon (L.) Pers.","6109637","","","","INFOFLORA"
"","Cynoglossum creticum Mill.","4064467","","","","INFOFLORA"
"","Cynoglossum germanicum Jacq.","7295106","","","","INFOFLORA"
"","Cynoglossum officinale L.","2925815","","","","INFOFLORA"
"","Cynosurus cristatus L.","2704395","","","","INFOFLORA"
"","Cynosurus echinatus L.","2704394","","","","INFOFLORA"
"","Cyperus difformis L.","2714796","","","","INFOFLORA"
"","Cyperus eragrostis Lam.","2715482","","","","INFOFLORA"
"","Cyperus esculentus L.","2716226","","","","INFOFLORA"
"","Cyperus flavescens L.","2730906","","","","INFOFLORA"
"","Cyperus fuscus L.","2716489","","","","INFOFLORA"
"","Cyperus glomeratus L.","2715054","","","","INFOFLORA"
"","Cyperus longus L.","8243603","","","","INFOFLORA"
"","Cyperus lupulinus (Biehler) Marcks","2716209","","","","INFOFLORA"
"","Cyperus michelianus (L.) Delile","2714056","","","","INFOFLORA"
"","Cyperus microiria Steud.","2715429","","","","INFOFLORA"
"","Cyperus rotundus L.","2714818","","","","INFOFLORA"
"","Cyperus serotinus Rottb.","2715620","","","","INFOFLORA"
"","Cypripedium calceolus L.","2820517","","","","INFOFLORA"
"","Cyrtomium falcatum (L.fil.) C.Presl","2650829","","","","INFOFLORA"
"","Cystopteris alpina (Lam.) Desv.","4015233","","","","INFOFLORA"
"","Cystopteris dickieana R.Sim","2650819","","","","INFOFLORA"
"","Cystopteris fragilis (L.) Bernh.","2650818","","","","INFOFLORA"
"","Cystopteris montana (Lam.) Desv.","2650808","","","","INFOFLORA"
"","Cytisophyllum sessilifolium (L.) O.Lang","2940408","","","","INFOFLORA"
"","Cytisus decumbens (Durande) Spach","5354676","","","","INFOFLORA"
"","Cytisus emeriflorus Rchb.","5354606","","","","INFOFLORA"
"","Cytisus nigricans L.","5356805","","","","INFOFLORA"
"","Cytisus scoparius (L.) Link","5354656","","","","INFOFLORA"
"","Dactylis glomerata L.","2705308","","","","INFOFLORA"
"","Dactylis glomerata subsp. hispanica (Roth) Nyman","4932234","","","","INFOFLORA"
"","Dactylis glomerata subsp. reichenbachii (Dalla Torre & Sarnth.) Stebbins & D.Zohary","5940415","","","","INFOFLORA"
"","Dactylis polygama Horv.","9224320","","","","INFOFLORA"
"","Dactylorhiza maculata subsp. fuchsii (Druce) Hyl.","2810689","","","","INFOFLORA"
"","Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh.","2810155","","","","INFOFLORA"
"","Danthonia alpina Vest","4128981","","","","INFOFLORA"
"","Danthonia ×breviaristata (Beck) Vierh.","5940449","","","","INFOFLORA"
"","Danthonia decumbens (L.) DC.","2703250","","","","INFOFLORA"
"","Daphne alpina L.","7911301","","","","INFOFLORA"
"","Daphne cneorum L.","7150059","","","","INFOFLORA"
"","Daphne laureola L.","5420853","","","","INFOFLORA"
"","Daphne mezereum L.","5420852","","","","INFOFLORA"
"","Daphne striata Tratt.","5523875","","","","INFOFLORA"
"","Datura innoxia Mill.","2928755","","","","INFOFLORA"
"","Datura stramonium L.","2928751","","","","INFOFLORA"
"","Daucus carota L.","3034742","","","","INFOFLORA"
"","Delosperma cooperi (Hook.fil.) L.Bolus","9376410","","","","INFOFLORA"
"","Delphinium consolida L.","3033836","","","","INFOFLORA"
"","Delphinium dubium (Rouy & Foucaud) Pawl.","3921378","","","","INFOFLORA"
"","Delphinium elatum L.","3033757","","","","INFOFLORA"
"","Deschampsia cespitosa (L.) P.Beauv.","8059811","","","","INFOFLORA"
"","Deschampsia littoralis (Gaudin) Reut.","4143237","","","","INFOFLORA"
"","Deschampsia rhenana Gremli","4142644","","","","INFOFLORA"
"","Descurainia sophia (L.) Webb ex Prantl","3044318","","","","INFOFLORA"
"","Deutzia crenata Siebold & Zucc.","2985963","","","","INFOFLORA"
"","Deutzia scabra Thunb.","2985965","","","","INFOFLORA"
"","Dianthus armeria L.","3085413","","","","INFOFLORA"
"","Dianthus barbatus L.","3085421","","","","INFOFLORA"
"","Dianthus carthusianorum L.","8400876","","","","INFOFLORA"
"","Dianthus carthusianorum subsp. atrorubens (All.) Pers.","12263129","","","","INFOFLORA"
"","Dianthus caryophyllus L.","3085420","","","","INFOFLORA"
"","Dianthus deltoides L.","3085424","","","","INFOFLORA"
"","Dianthus furcatus subsp. lereschii (Burnat) Pignatti","3812489","","","","INFOFLORA"
"","Dianthus giganteus d'Urv.","7267630","","","","INFOFLORA"
"","Dianthus glacialis Haenke","7419348","","","","INFOFLORA"
"","Dianthus gratianopolitanus Vill.","6364219","","","","INFOFLORA"
"","Dianthus hyssopifolius L.","7267549","","","","INFOFLORA"
"","Dianthus pavonius Tausch","3809829","","","","INFOFLORA"
"","Dianthus plumarius L.","3085412","","","","INFOFLORA"
"","Dianthus seguieri Vill.","3085423","","","","INFOFLORA"
"","Dianthus superbus L.","6363496","","","","INFOFLORA"
"","Dianthus sylvestris Wulfen","3085419","","","","INFOFLORA"
"","Dichanthelium acuminatum (Sw.) Gould & C.A.Clark","2702678","","","","INFOFLORA"
"","Dichodon viscidum (M.Bieb.) Holub","5384523","","","","INFOFLORA"
"","Dichondra micrantha Urb.","2928666","","","","INFOFLORA"
"","Dichoropetalum carvifolia (Vill.) Pimenov & Kljuykov","3639144","","","","INFOFLORA"
"","Dictamnus albus L.","5421338","","","","INFOFLORA"
"","Digitalis grandiflora Mill.","5414992","","","","INFOFLORA"
"","Digitalis lanata Ehrh.","5414989","","","","INFOFLORA"
"","Digitalis lutea L.","5414990","","","","INFOFLORA"
"","Digitalis purpurea L.","5414995","","","","INFOFLORA"
"","Digitaria ciliaris (Retz.) Koeler","5289998","","","","INFOFLORA"
"","Digitaria ischaemum (Schreb.) Muhl.","5290003","","","","INFOFLORA"
"","Digitaria sanguinalis (L.) Scop.","5289972","","","","INFOFLORA"
"","Digitaria violascens Link","5289995","","","","INFOFLORA"
"","Diospyros lotus L.","3032980","","","","INFOFLORA"
"","Diphasiastrum alpinum (L.) Holub","2688420","","","","INFOFLORA"
"","Diphasiastrum complanatum (L.) Holub","2688424","","","","INFOFLORA"
"","Diphasiastrum ×issleri (Rouy) Holub","2688438","","","","INFOFLORA"
"","Diphasiastrum tristachyum (Pursh) Holub","2688412","","","","INFOFLORA"
"","Diplotaxis erucoides (L.) DC.","5376309","","","","INFOFLORA"
"","Diplotaxis muralis (L.) DC.","5376337","","","","INFOFLORA"
"","Diplotaxis tenuifolia (L.) DC.","5376426","","","","INFOFLORA"
"","Diplotaxis viminea (L.) DC.","5376357","","","","INFOFLORA"
"","Dipsacus fullonum L.","8435025","","","","INFOFLORA"
"","Dipsacus laciniatus L.","2888814","","","","INFOFLORA"
"","Dipsacus pilosus L.","4102733","","","","INFOFLORA"
"","Dipsacus strigosus Willd.","7443846","","","","INFOFLORA"
"","Dittrichia graveolens (L.) Greuter","3101193","","","","INFOFLORA"
"","Dittrichia viscosa (L.) Greuter","3101184","","","","INFOFLORA"
"","Doronicum austriacum Jacq.","7389416","","","","INFOFLORA"
"","Doronicum clusii (All.) Tausch","3143013","","","","INFOFLORA"
"","Doronicum columnae Ten.","3143034","","","","INFOFLORA"
"","Doronicum glaciale (Wulfen) Nyman","3142953","","","","INFOFLORA"
"","Doronicum grandiflorum Lam.","3142996","","","","INFOFLORA"
"","Doronicum orientale Hoffm.","3142967","","","","INFOFLORA"
"","Doronicum pardalianches L.","3142951","","","","INFOFLORA"
"","Doronicum plantagineum L.","8340385","","","","INFOFLORA"
"","Dorycnium germanicum (Gremli) Rikli","3972928","","","","INFOFLORA"
"","Dorycnium herbaceum Vill.","3972909","","","","INFOFLORA"
"","Dorycnium hirsutum (L.) Ser.","2959124","","","","INFOFLORA"
"","Draba aizoides L.","3049799","","","","INFOFLORA"
"","Draba dubia Suter","3049974","","","","INFOFLORA"
"","Draba fladnizensis Wulfen","3049571","","","","INFOFLORA"
"","Draba hoppeana Rchb.","3050118","","","","INFOFLORA"
"","Draba incana L.","3049770","","","","INFOFLORA"
"","Draba ladina Braun-Blanq.","3049722","","","","INFOFLORA"
"","Draba muralis L.","3049836","","","","INFOFLORA"
"","Draba nemorosa L.","3049685","","","","INFOFLORA"
"","Draba siliquosa M.Bieb.","3049820","","","","INFOFLORA"
"","Draba thomasii W.D.J.Koch","3049629","","","","INFOFLORA"
"","Draba tomentosa Clairv.","3049449","","","","INFOFLORA"
"","Draba verna L.","7473187","","","","INFOFLORA"
"","Dracocephalum austriacum L.","3903269","","","","INFOFLORA"
"","Dracocephalum ruyschiana L.","3901967","","","","INFOFLORA"
"","Dracunculus vulgaris Schott","5330001","","","","INFOFLORA"
"","Drosera anglica Huds.","3190932","","","","INFOFLORA"
"","Drosera intermedia Hayne","3191157","","","","INFOFLORA"
"","Drosera obovata Mert. & Koch","3190848","","","","INFOFLORA"
"","Drosera rotundifolia L.","3191030","","","","INFOFLORA"
"","Dryas octopetala L.","4889932","","","","INFOFLORA"
"","Dryopteris affinis (Lowe) Fraser-Jenk.","8915858","","","","INFOFLORA"
"","Dryopteris affinis subsp. borreri (Newman) Fraser-Jenk.","5657205","","","","INFOFLORA"
"","Dryopteris affinis subsp. cambrensis Fraser-Jenk.","5657202","","","","INFOFLORA"
"","Dryopteris carthusiana (Vill.) H.P.Fuchs","5275149","","","","INFOFLORA"
"","Dryopteris cristata (L.) A.Gray","5275110","","","","INFOFLORA"
"","Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy","5275102","","","","INFOFLORA"
"","Dryopteris filix-mas (L.) Schott","5275132","","","","INFOFLORA"
"","Dryopteris pseudodisjuncta (Tavel ex Fraser-Jenk.) Fraser-Jenk.","5656895","","","","INFOFLORA"
"","Dryopteris villarii (Bellardi) Woyn. ex Schinz & Thell.","7319100","","","","INFOFLORA"
"","Duchesnea indica (Andrews) Focke","3031919","","","","INFOFLORA"
"","Dysphania pumilio (R.Br.) Mosyakin & Clemants","5568339","","","","INFOFLORA"
"","Ecballium elaterium (L.) A.Rich.","2874680","","","","INFOFLORA"
"","Echinochloa colonum (L.) Link","6431411","","","","INFOFLORA"
"","Echinocystis lobata (Michx.) Torr. & A.Gray","5331404","","","","INFOFLORA"
"","Echinops bannaticus Rochel ex Schrad.","5392859","","","","INFOFLORA"
"","Echinops exaltatus Schrad.","5392683","","","","INFOFLORA"
"","Echinops ritro L.","5392950","","","","INFOFLORA"
"","Echinops sphaerocephalus L.","5392883","","","","INFOFLORA"
"","Echium italicum L.","2925889","","","","INFOFLORA"
"","Echium plantagineum L.","2925895","","","","INFOFLORA"
"","Echium vulgare L.","2925892","","","","INFOFLORA"
"","Elaeagnus angustifolia L.","3039269","","","","INFOFLORA"
"","Elaeagnus pungens Thunb. ex A.Murray","8214730","","","","INFOFLORA"
"","Elatine alsinastrum L.","5646136","","","","INFOFLORA"
"","Elatine hexandra (Lapierre) DC.","5646074","","","","INFOFLORA"
"","Elatine hydropiper L.","9076200","","","","INFOFLORA"
"","Elatine triandra Schkuhr","5421095","","","","INFOFLORA"
"","Eleocharis acicularis (L.) Roem. & Schult.","2717570","","","","INFOFLORA"
"","Eleocharis atropurpurea (Retz.) J.Presl & C.Presl","2717771","","","","INFOFLORA"
"","Eleocharis austriaca Hayek","2717405","","","","INFOFLORA"
"","Eleocharis carniolica W.D.J.Koch","2717871","","","","INFOFLORA"
"","Eleocharis mamillata (H.Lindb.) H.Lindb.","2717400","","","","INFOFLORA"
"","Eleocharis obtusa (Willd.) Schult.","2717467","","","","INFOFLORA"
"","Eleocharis ovata (Roth) Roem. & Schult.","2717641","","","","INFOFLORA"
"","Eleocharis palustris (L.) Roem. & Schult.","2717002","","","","INFOFLORA"
"","Eleocharis quinqueflora (Hartmann) O.Schwarz","2717493","","","","INFOFLORA"
"","Eleocharis uniglumis (Link) Schult.","2717910","","","","INFOFLORA"
"","Eleusine indica (L.) Gaertn.","2705953","","","","INFOFLORA"
"","Eleusine tristachya (Lam.) Lam.","2705955","","","","INFOFLORA"
"","Elodea canadensis Michx.","2865448","","","","INFOFLORA"
"","Elodea densa (Planch.) Casp.","5329263","","","","INFOFLORA"
"","Elodea nuttallii (Planch.) H.St.John","5329212","","","","INFOFLORA"
"","Elymus caninus (L.) L.","5290319","","","","INFOFLORA"
"","Elymus helveticus Schmid-Holl.","7900172","","","","INFOFLORA"
"","Elymus hispidus (Opiz) Melderis","5289902","","","","INFOFLORA"
"","Elymus obtusiflorus (DC.) Conert","5672172","","","","INFOFLORA"
"","Elymus repens (L.) Gould","5290299","","","","INFOFLORA"
"","Elyna myosuroides (Vill.) Fritsch","7365394","","","","INFOFLORA"
"","Empetrum hermaphroditum Hagerup","6387994","","","","INFOFLORA"
"","Empetrum nigrum L.","8925249","","","","INFOFLORA"
"","Ephedra distachya L.","2653321","","","","INFOFLORA"
"","Epilobium alpestre (Jacq.) Krock.","3663919","","","","INFOFLORA"
"","Epilobium alsinifolium Vill.","3189158","","","","INFOFLORA"
"","Epilobium anagallidifolium Lam.","3189068","","","","INFOFLORA"
"","Epilobium angustifolium L.","8053718","","","","INFOFLORA"
"","Epilobium ciliatum Raf.","9188840","","","","INFOFLORA"
"","Epilobium collinum C.C.Gmel.","3666788","","","","INFOFLORA"
"","Epilobium dodonaei Vill.","12041591","","","","INFOFLORA"
"","Epilobium duriaei J.Gay ex Godr.","8346334","","","","INFOFLORA"
"","Epilobium fleischeri Hochst.","3665986","","","","INFOFLORA"
"","Epilobium hirsutum L.","3189172","","","","INFOFLORA"
"","Epilobium lamyi F.W.Schultz","3664802","","","","INFOFLORA"
"","Epilobium lanceolatum Sebast. & Mauri","6427899","","","","INFOFLORA"
"","Epilobium montanum L.","3664083","","","","INFOFLORA"
"","Epilobium nutans F.W.Schmidt","7737682","","","","INFOFLORA"
"","Epilobium obscurum Schreb.","3189152","","","","INFOFLORA"
"","Epilobium palustre L.","3189080","","","","INFOFLORA"
"","Epilobium parviflorum Schreb.","3189157","","","","INFOFLORA"
"","Epilobium roseum (Schreb.) Schreb.","3666800","","","","INFOFLORA"
"","Epilobium tetragonum L.","7322563","","","","INFOFLORA"
"","Epimedium alpinum L.","7695021","","","","INFOFLORA"
"","Epimedium pinnatum Fisch.","7300414","","","","INFOFLORA"
"","Epipactis atrorubens (Hoffm.) Besser","5318958","","","","INFOFLORA"
"","Epipactis bugacensis Robatsch","5318875","","","","INFOFLORA"
"","Epipactis distans Arv.-Touv.","5319101","","","","INFOFLORA"
"","Epipactis helleborine (L.) Crantz","8998684","","","","INFOFLORA"
"","Epipactis leptochila (Godfery) Godfery","5319049","","","","INFOFLORA"
"","Epipactis microphylla (Ehrh.) Sw.","5318948","","","","INFOFLORA"
"","Epipactis muelleri Godfery","5319022","","","","INFOFLORA"
"","Epipactis palustris (L.) Crantz","5319226","","","","INFOFLORA"
"","Epipactis phyllanthes G.E.Sm.","5318980","","","","INFOFLORA"
"","Epipactis placentina Bongiorni & P.Grünanger","5319267","","","","INFOFLORA"
"","Epipactis purpurata Sm.","5318906","","","","INFOFLORA"
"","Epipogium aphyllum Sw.","2849252","","","","INFOFLORA"
"","Equisetum arvense L.","7924597","","","","INFOFLORA"
"","Equisetum fluviatile L.","2687937","","","","INFOFLORA"
"","Equisetum hyemale L.","2687927","","","","INFOFLORA"
"","Equisetum ×moorei Newman","4000302","","","","INFOFLORA"
"","Equisetum palustre L.","2687932","","","","INFOFLORA"
"","Equisetum pratense Ehrh.","2687942","","","","INFOFLORA"
"","Equisetum ramosissimum Desf.","2687940","","","","INFOFLORA"
"","Equisetum sylvaticum L.","2687929","","","","INFOFLORA"
"","Equisetum telmateia Ehrh.","2687943","","","","INFOFLORA"
"","Equisetum variegatum Schleich.","12001020","","","","INFOFLORA"
"","Eragrostis barrelieri Daveau","2705431","","","","INFOFLORA"
"","Eragrostis cilianensis (All.) Vignolo ex Janch.","2705369","","","","INFOFLORA"
"","Eragrostis curvula (Schrad.) Nees","2705378","","","","INFOFLORA"
"","Eragrostis lugens Nees","2705432","","","","INFOFLORA"
"","Eragrostis mexicana (Hornem.) Link","2705339","","","","INFOFLORA"
"","Eragrostis minor Host","2705449","","","","INFOFLORA"
"","Eragrostis multicaulis Steud.","2705401","","","","INFOFLORA"
"","Eragrostis parviflora (R.Br.) Trin.","2705393","","","","INFOFLORA"
"","Eragrostis pectinacea (Michx.) Nees","2705420","","","","INFOFLORA"
"","Eragrostis tef (Zuccagni) Trotter","2705325","","","","INFOFLORA"
"","Eragrostis virescens J.Presl","4139037","","","","INFOFLORA"
"","Eranthis hyemalis (L.) Salisb.","3033227","","","","INFOFLORA"
"","Erica arborea L.","5333410","","","","INFOFLORA"
"","Erica carnea L.","5682465","","","","INFOFLORA"
"","Erica cinerea L.","5333411","","","","INFOFLORA"
"","Erica tetralix L.","5333412","","","","INFOFLORA"
"","Erica vagans L.","5333408","","","","INFOFLORA"
"","Erigeron acris L.","3147080","","","","INFOFLORA"
"","Erigeron acris subsp. angulosus (Gaudin) Vacc.","6077031","","","","INFOFLORA"
"","Erigeron alpinus L.","9074530","","","","INFOFLORA"
"","Erigeron annuus (L.) Desf","8392258","","","","INFOFLORA"
"","Erigeron annuus (L.) Pers.","3117449","","","","INFOFLORA"
"","Erigeron annuus subsp. septentrionalis (Fernald & Wiegand) Wagenitz","4219549","","","","INFOFLORA"
"","Erigeron atticus Vill.","3146734","","","","INFOFLORA"
"","Erigeron glabratus (Phil.)","3147132","","","","INFOFLORA"
"","Erigeron karvinskianus DC.","3147168","","","","INFOFLORA"
"","Erigeron muralis Lapeyr.","4214692","","","","INFOFLORA"
"","Erigeron neglectus A.Kern.","3146974","","","","INFOFLORA"
"","Erigeron politus Fr.","4213411","","","","INFOFLORA"
"","Erigeron schleicheri Gremli","3146936","","","","INFOFLORA"
"","Erigeron sumatrensis Retz.","3146683","","","","INFOFLORA"
"","Erigeron uniflorus L.","3147144","","","","INFOFLORA"
"","Erinus alpinus L.","3741446","","","","INFOFLORA"
"","Eriobotrya japonica (Thunb.) Lindl.","3024146","","","","INFOFLORA"
"","Eriocapitella hupehensis (Lemoine) Christenh. & Byng","9677963","","","","INFOFLORA"
"","Eriophorum angustifolium Honck.","2730127","","","","INFOFLORA"
"","Eriophorum gracile W.D.J.Koch ex Roth","8252393","","","","INFOFLORA"
"","Eriophorum latifolium Hoppe","2730210","","","","INFOFLORA"
"","Eriophorum scheuchzeri Hoppe","2730240","","","","INFOFLORA"
"","Eriophorum vaginatum L.","2730185","","","","INFOFLORA"
"","Eritrichium nanum (L.) Gaudin","2926332","","","","INFOFLORA"
"","Erophila praecox (Steven) DC.","3050070","","","","INFOFLORA"
"","Erophila verna (L.) DC.","8675470","","","","INFOFLORA"
"","Eruca sativa Mill.","5375936","","","","INFOFLORA"
"","Erucastrum gallicum (Willd.) O.E.Schulz","5375547","","","","INFOFLORA"
"","Erucastrum nasturtiifolium (Poir.) O.E.Schulz","5375555","","","","INFOFLORA"
"","Eryngium alpinum L.","3633778","","","","INFOFLORA"
"","Eryngium campestre L.","3034426","","","","INFOFLORA"
"","Eryngium giganteum M.Bieb.","3631129","","","","INFOFLORA"
"","Erysimum cheiranthoides L.","3048266","","","","INFOFLORA"
"","Erysimum cheiri (L.) Crantz","3048203","","","","INFOFLORA"
"","Erysimum crassistylum subsp. verresianum Peccenini & Polatschek","10694140","","","","INFOFLORA"
"","Erysimum crepidifolium Rchb.","3048522","","","","INFOFLORA"
"","Erysimum insubricum Peccenini & Polatschek","10777068","","","","INFOFLORA"
"","Erysimum jugicolum Jord.","3048148","","","","INFOFLORA"
"","Erysimum ochroleucum (Schleich.) DC.","3048506","","","","INFOFLORA"
"","Erysimum repandum L.","3048166","","","","INFOFLORA"
"","Erysimum rhaeticum (Schleich. ex Hornem.) DC.","3048140","","","","INFOFLORA"
"","Erysimum sylvestre (Crantz) Scop.","3048597","","","","INFOFLORA"
"","Erysimum virgatum Roth","3048674","","","","INFOFLORA"
"","Erythranthe moschata (Douglas ex Lindl.) G.L.Nesom","7346090","","","","INFOFLORA"
"","Erythronium dens-canis L.","2752849","","","","INFOFLORA"
"","Eschscholzia californica Cham.","2888380","","","","INFOFLORA"
"","Euclidium syriacum (L.) W.T.Aiton","3049314","","","","INFOFLORA"
"","Euonymus europaeus L.","3169131","","","","INFOFLORA"
"","Euonymus fortunei (Turcz.) Hand.-Mazz.","3169137","","","","INFOFLORA"
"","Euonymus japonicus Thunb.","7102937","","","","INFOFLORA"
"","Euonymus latifolius (L.) Mill.","7433196","","","","INFOFLORA"
"","Euonymus verrucosus Scop.","7723078","","","","INFOFLORA"
"","Eupatorium cannabinum L.","5402943","","","","INFOFLORA"
"","Euphorbia amygdaloides L.","3065239","","","","INFOFLORA"
"","Euphorbia carniolica Jacq.","3064644","","","","INFOFLORA"
"","Euphorbia chamaesyce L.","3067869","","","","INFOFLORA"
