"TAXONIDCH","ACCEPTEDNAME","USAGEKEY","ACCEPTEDUSAGEKEY","SCIENTIFICNAME","RANK","SOURCE"
"","Alcea biennis Winterl","5617600","","","","INFOFLORA"
"","Alcea rosea L.","5406789","","","","INFOFLORA"
"","Alchemilla acuminatidens (Buser) Buser","3028076","","","","INFOFLORA"
"","Alchemilla acutiloba Opiz","3027554","","","","INFOFLORA"
"","Alchemilla aggregata Buser","3028753","","","","INFOFLORA"
"","Alchemilla alpigena Hegi","7407821","","","","INFOFLORA"
"","Alchemilla alpina L.","3027648","","","","INFOFLORA"
"","Alchemilla amphisericea Buser ex Jaquet","10947386","","","","INFOFLORA"
"","Alchemilla argentidens Buser","3027853","","","","INFOFLORA"
"","Alchemilla atrovirens Buser","3027925","","","","INFOFLORA"
"","Alchemilla chirophylla Buser","3028876","","","","INFOFLORA"
"","Alchemilla colorata Buser","3027495","","","","INFOFLORA"
"","Alchemilla compta Buser","3028917","","","","INFOFLORA"
"","Alchemilla conjuncta Bab.","3028431","","","","INFOFLORA"
"","Alchemilla connivens Buser","3028082","","","","INFOFLORA"
"","Alchemilla controversa Buser","3027817","","","","INFOFLORA"
"","Alchemilla coriacea Buser","3028252","","","","INFOFLORA"
"","Alchemilla crinita Buser","3028699","","","","INFOFLORA"
"","Alchemilla curtiloba Buser ex Jaquet","8421685","","","","INFOFLORA"
"","Alchemilla decumbens Buser","3028988","","","","INFOFLORA"
"","Alchemilla demissa Buser","3027900","","","","INFOFLORA"
"","Alchemilla effusa Buser","3028884","","","","INFOFLORA"
"","Alchemilla exigua Buser","7646707","","","","INFOFLORA"
"","Alchemilla fallax Buser","3027687","","","","INFOFLORA"
"","Alchemilla filicaulis Buser","3027485","","","","INFOFLORA"
"","Alchemilla firma Buser","3028479","","","","INFOFLORA"
"","Alchemilla fissimima Buser","3028994","","","","INFOFLORA"
"","Alchemilla flabellata Buser","3027735","","","","INFOFLORA"
"","Alchemilla flavicoma Buser","8290791","","","","INFOFLORA"
"","Alchemilla flavovirens Buser","3027598","","","","INFOFLORA"
"","Alchemilla flexicaulis Buser","3028395","","","","INFOFLORA"
"","Alchemilla frigens Buser","3028898","","","","INFOFLORA"
"","Alchemilla gaillardiana Buser ex Jaquet","7428780","","","","INFOFLORA"
"","Alchemilla gemmia Buser","3028693","","","","INFOFLORA"
"","Alchemilla glabra Neygenf.","3027640","","","","INFOFLORA"
"","Alchemilla glacialis Buser","3028404","","","","INFOFLORA"
"","Alchemilla glaucescens Wallr.","3027452","","","","INFOFLORA"
"","Alchemilla glomerulans Buser","3028402","","","","INFOFLORA"
"","Alchemilla grossidens Buser","3028648","","","","INFOFLORA"
"","Alchemilla heteropoda Buser","3027605","","","","INFOFLORA"
"","Alchemilla hirtipes Buser","3027886","","","","INFOFLORA"
"","Alchemilla hoppeana (Rchb.) Dalla Torre","3027666","","","","INFOFLORA"
"","Alchemilla hybrida (L.) L.","8292353","","","","INFOFLORA"
"","Alchemilla impexa Buser","7560544","","","","INFOFLORA"
"","Alchemilla incisa Buser","3027518","","","","INFOFLORA"
"","Alchemilla inconcinna Buser","3028706","","","","INFOFLORA"
"","Alchemilla infravallesia (Buser) Rothm.","8228294","","","","INFOFLORA"
"","Alchemilla jaquetiana Buser","3028116","","","","INFOFLORA"
"","Alchemilla jugensis (Buser) Maill.","3028478","","","","INFOFLORA"
"","Alchemilla leptoclada Buser ex Jaquet","11038843","","","","INFOFLORA"
"","Alchemilla lineata Buser","3027601","","","","INFOFLORA"
"","Alchemilla longana Buser","3028642","","","","INFOFLORA"
"","Alchemilla longinodis (Buser) Maill.","3027760","","","","INFOFLORA"
"","Alchemilla longiuscula Buser","3027619","","","","INFOFLORA"
"","Alchemilla micans Buser","3027791","","","","INFOFLORA"
"","Alchemilla mollis (Buser) Rothm.","3028528","","","","INFOFLORA"
"","Alchemilla monticola Opiz","3028763","","","","INFOFLORA"
"","Alchemilla nitida Buser","3028580","","","","INFOFLORA"
"","Alchemilla obscura Buser","3028047","","","","INFOFLORA"
"","Alchemilla obtusa Buser ex C.DC.","7870561","","","","INFOFLORA"
"","Alchemilla opaca Buser","3027516","","","","INFOFLORA"
"","Alchemilla othmarii Buser","3028506","","","","INFOFLORA"
"","Alchemilla paicheana (Buser) Rothm.","3028095","","","","INFOFLORA"
"","Alchemilla pallens Buser","3028986","","","","INFOFLORA"
"","Alchemilla pentaphyllea L.","3028493","","","","INFOFLORA"
"","Alchemilla pentaphylloides Buser","8423415","","","","INFOFLORA"
"","Alchemilla petiolulans (Buser ex E.G.Camus) Buser","3028981","","","","INFOFLORA"
"","Alchemilla plicata Buser","3027653","","","","INFOFLORA"
"","Alchemilla racemulosa Buser","3028251","","","","INFOFLORA"
"","Alchemilla radiisecta Buser","3028581","","","","INFOFLORA"
"","Alchemilla reniformis Buser","3028155","","","","INFOFLORA"
"","Alchemilla rhododendrophila Buser","3028109","","","","INFOFLORA"
"","Alchemilla rubristipula Buser","3028055","","","","INFOFLORA"
"","Alchemilla saxatilis Buser","3028162","","","","INFOFLORA"
"","Alchemilla saxetana Buser","3027463","","","","INFOFLORA"
"","Alchemilla schmidelyana Buser","3028527","","","","INFOFLORA"
"","Alchemilla semisecta Buser","3028159","","","","INFOFLORA"
"","Alchemilla sericoneura Buser","3028274","","","","INFOFLORA"
"","Alchemilla sinuata Buser","3028061","","","","INFOFLORA"
"","Alchemilla speciosa Buser","3028148","","","","INFOFLORA"
"","Alchemilla splendens Christ","8364578","","","","INFOFLORA"
"","Alchemilla squarrosula Buser","3028476","","","","INFOFLORA"
"","Alchemilla straminea Buser","3028171","","","","INFOFLORA"
"","Alchemilla strigosula Buser ex C.DC.","9630454","","","","INFOFLORA"
"","Alchemilla subcrenata Buser","3028176","","","","INFOFLORA"
"","Alchemilla subglobosa C.G.Westerl.","7350401","","","","INFOFLORA"
"","Alchemilla subsericea Reut.","3028030","","","","INFOFLORA"
"","Alchemilla tenuis Buser","3027730","","","","INFOFLORA"
"","Alchemilla tirolensis Buser ex Dalla Torre & Sarnth.","3027951","","","","INFOFLORA"
"","Alchemilla transiens (Buser) Buser","8901057","","","","INFOFLORA"
"","Alchemilla trullata Buser","3028690","","","","INFOFLORA"
"","Alchemilla trunciloba Buser","3027764","","","","INFOFLORA"
"","Alchemilla undulata Buser","3028058","","","","INFOFLORA"
"","Alchemilla versipila Buser","3028566","","","","INFOFLORA"
"","Alchemilla xanthochlora Rothm.","3028198","","","","INFOFLORA"
"","Aldrovanda vesiculosa L.","3190715","","","","INFOFLORA"
"","Alisma gramineum Lej.","2865152","","","","INFOFLORA"
"","Alisma lanceolatum With.","2865125","","","","INFOFLORA"
"","Alisma plantago-aquatica L.","2865100","","","","INFOFLORA"
"","Allium ampeloprasum L.","2856037","","","","INFOFLORA"
"","Allium angulosum L.","2855717","","","","INFOFLORA"
"","Allium carinatum L.","2855968","","","","INFOFLORA"
"","Allium cepa L.","2857697","","","","INFOFLORA"
"","Allium coloratum Spreng.","8060333","","","","INFOFLORA"
"","Allium ericetorum Thore","2855733","","","","INFOFLORA"
"","Allium fistulosum L.","2856504","","","","INFOFLORA"
"","Allium insubricum Boiss. & Reut.","2855731","","","","INFOFLORA"
"","Allium lineare L.","2856148","","","","INFOFLORA"
"","Allium lusitanicum Lam.","2855705","","","","INFOFLORA"
"","Allium narcissiflorum Vill.","2856400","","","","INFOFLORA"
"","Allium nigrum L.","2855823","","","","INFOFLORA"
"","Allium oleraceum L.","2857071","","","","INFOFLORA"
"","Allium paniculatum L.","2856288","","","","INFOFLORA"
"","Allium paradoxum (M.Bieb.) G.Don","2857017","","","","INFOFLORA"
"","Allium porrum L.","7668251","","","","INFOFLORA"
"","Allium rotundum L.","2855963","","","","INFOFLORA"
"","Allium sativum L.","2856681","","","","INFOFLORA"
"","Allium schoenoprasum L.","2855860","","","","INFOFLORA"
"","Allium scorodoprasum L.","9177060","","","","INFOFLORA"
